symbol,live_list,system,param,window,period,n_trades,win_rate,avg_r,total_r,max_dd_r,insufficient_data
AUDUSD,False,B_bollinger,ATRx2.0,wf_5,train,4,50.0,-0.27,-1.07,-1.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_5,test,0,,,,,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_5,train,13,23.1,-0.27,-3.19,-4.01,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_5,test,0,,,,,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_5,train,7,42.9,-0.26,-1.79,-2.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_5,test,0,,,,,True
AUDUSD,False,A,ADX>=20,wf_6,train,16,12.5,-0.31,-4.95,-6.72,True
AUDUSD,False,A,ADX>=20,wf_6,test,2,50.0,1.14,2.29,-0.25,True
AUDUSD,False,A,ADX>=25,wf_6,train,10,20.0,-0.32,-3.19,-4.01,True
AUDUSD,False,A,ADX>=25,wf_6,test,1,100.0,2.38,2.38,0.0,True
AUDUSD,False,A,ADX>=30,wf_6,train,4,50.0,0.02,0.07,-0.84,True
AUDUSD,False,A,ADX>=30,wf_6,test,1,100.0,1.8,1.8,0.0,True
AUDUSD,False,B,RSI<=25,wf_6,train,18,61.1,0.4,7.27,-2.0,True
AUDUSD,False,B,RSI<=25,wf_6,test,5,20.0,-0.53,-2.65,-3.0,True
AUDUSD,False,B,RSI<=30,wf_6,train,18,61.1,0.4,7.27,-2.0,True
AUDUSD,False,B,RSI<=30,wf_6,test,5,20.0,-0.53,-2.65,-3.0,True
AUDUSD,False,B,RSI<=35,wf_6,train,18,61.1,0.4,7.27,-2.0,True
AUDUSD,False,B,RSI<=35,wf_6,test,5,20.0,-0.53,-2.65,-3.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_6,train,17,64.7,0.26,4.35,-3.0,True
AUDUSD,False,B_atr_stop,ATRx1.0,wf_6,test,5,40.0,-0.12,-0.59,-2.0,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_6,train,17,70.6,0.16,2.75,-1.49,True
AUDUSD,False,B_atr_stop,ATRx1.5,wf_6,test,4,50.0,-0.1,-0.4,-1.0,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_6,train,17,70.6,0.07,1.25,-1.37,True
AUDUSD,False,B_atr_stop,ATRx2.0,wf_6,test,4,50.0,0.15,0.62,-0.54,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_6,train,4,50.0,-0.04,-0.15,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.0,wf_6,test,1,100.0,1.07,1.07,0.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_6,train,4,50.0,-0.19,-0.76,-1.0,True
AUDUSD,False,B_bollinger,ATRx1.5,wf_6,test,1,100.0,0.71,0.71,0.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_6,train,4,50.0,-0.27,-1.07,-1.0,True
AUDUSD,False,B_bollinger,ATRx2.0,wf_6,test,1,100.0,0.54,0.54,0.0,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_6,train,13,23.1,-0.27,-3.19,-4.01,True
AUDUSD,False,A_relaxed,no_macd_filter,wf_6,test,2,50.0,2.38,2.38,0.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_6,train,7,42.9,-0.26,-1.79,-2.0,True
AUDUSD,False,B_bollinger_relaxed,no_adx_filter,wf_6,test,3,66.7,0.32,0.95,-0.03,True
BTCUSD,True,A,ADX>=20,split_70_30,train,10,40.0,1.15,11.53,-1.83,True
BTCUSD,True,A,ADX>=20,split_70_30,test,3,0.0,-0.74,-2.21,-1.65,True
BTCUSD,True,A,ADX>=25,split_70_30,train,9,33.3,1.0,9.01,-2.1,True
BTCUSD,True,A,ADX>=25,split_70_30,test,2,0.0,-0.74,-1.48,-0.88,True
BTCUSD,True,A,ADX>=30,split_70_30,train,6,50.0,0.85,5.09,-0.58,True
BTCUSD,True,A,ADX>=30,split_70_30,test,1,0.0,-0.97,-0.97,0.0,True
BTCUSD,True,B,RSI<=25,split_70_30,train,13,23.1,-0.18,-2.36,-7.59,True
BTCUSD,True,B,RSI<=25,split_70_30,test,5,20.0,-0.2,-1.0,-2.0,True
BTCUSD,True,B,RSI<=30,split_70_30,train,13,23.1,-0.18,-2.36,-7.59,True
BTCUSD,True,B,RSI<=30,split_70_30,test,5,20.0,-0.2,-1.0,-2.0,True
BTCUSD,True,B,RSI<=35,split_70_30,train,13,23.1,-0.18,-2.36,-7.59,True
BTCUSD,True,B,RSI<=35,split_70_30,test,5,20.0,-0.2,-1.0,-2.0,True
BTCUSD,True,B_atr_stop,ATRx1.0,split_70_30,train,11,36.4,-0.07,-0.79,-4.0,True
BTCUSD,True,B_atr_stop,ATRx1.0,split_70_30,test,5,40.0,-0.2,-0.98,-1.0,True
BTCUSD,True,B_atr_stop,ATRx1.5,split_70_30,train,11,45.5,-0.05,-0.52,-2.29,True
BTCUSD,True,B_atr_stop,ATRx1.5,split_70_30,test,5,60.0,0.02,0.09,-1.26,True
BTCUSD,True,B_atr_stop,ATRx2.0,split_70_30,train,11,45.5,-0.06,-0.61,-2.29,True
BTCUSD,True,B_atr_stop,ATRx2.0,split_70_30,test,4,75.0,0.27,1.1,-0.27,True
BTCUSD,True,B_bollinger,ATRx1.0,split_70_30,train,5,40.0,0.54,2.68,-2.06,True
BTCUSD,True,B_bollinger,ATRx1.0,split_70_30,test,2,100.0,1.16,2.32,0.0,True
BTCUSD,True,B_bollinger,ATRx1.5,split_70_30,train,5,60.0,0.53,2.63,-1.0,True
BTCUSD,True,B_bollinger,ATRx1.5,split_70_30,test,2,100.0,0.77,1.55,0.0,True
BTCUSD,True,B_bollinger,ATRx2.0,split_70_30,train,5,60.0,0.34,1.72,-1.0,True
BTCUSD,True,B_bollinger,ATRx2.0,split_70_30,test,2,100.0,0.58,1.16,0.0,True
BTCUSD,True,A_relaxed,no_macd_filter,split_70_30,train,11,27.3,0.8,8.01,-2.1,True
BTCUSD,True,A_relaxed,no_macd_filter,split_70_30,test,2,0.0,-0.74,-1.48,-0.88,True
BTCUSD,True,B_bollinger_relaxed,no_adx_filter,split_70_30,train,12,50.0,0.2,2.42,-2.81,True
BTCUSD,True,B_bollinger_relaxed,no_adx_filter,split_70_30,test,3,100.0,0.49,1.47,0.0,True
DIA,False,A,ADX>=20,wf_1,train,2,0.0,-0.3,-0.61,-0.48,True
DIA,False,A,ADX>=20,wf_1,test,2,100.0,0.08,0.16,0.0,True
DIA,False,A,ADX>=25,wf_1,train,2,50.0,-0.07,-0.13,-0.66,True
DIA,False,A,ADX>=25,wf_1,test,2,0.0,-0.22,-0.44,-0.16,True
DIA,False,A,ADX>=30,wf_1,train,2,50.0,-0.28,-0.57,-0.79,True
DIA,False,A,ADX>=30,wf_1,test,0,,,,,True
DIA,False,B,RSI<=25,wf_1,train,3,33.3,-0.62,-1.87,-1.0,True
DIA,False,B,RSI<=25,wf_1,test,8,50.0,-0.24,-1.94,-1.0,True
DIA,False,B,RSI<=30,wf_1,train,3,33.3,-0.62,-1.87,-1.0,True
DIA,False,B,RSI<=30,wf_1,test,8,50.0,-0.24,-1.94,-1.0,True
DIA,False,B,RSI<=35,wf_1,train,3,33.3,-0.62,-1.87,-1.0,True
