seed,final_equity,max_drawdown_pct
57,8098.808486781744,-49.682465020640265
58,8185.288256200127,-34.93016979652277
59,5024.3264821365165,-41.10160921144438
60,9531.851101889048,-39.51528000257837
61,5859.1886002054425,-45.7752538171345
62,5610.652344376079,-49.28569943313627
63,8803.744416986894,-38.5915273335462
64,6799.440292043476,-46.795991692680055
65,9904.929324774394,-46.49176387686177
66,5488.610316352405,-44.172602051860196
67,8718.527982520896,-41.7326367584601
68,5866.583078938342,-38.23859103824464
69,5468.488174295046,-38.56836172281928
70,4842.781881708921,-43.04770016246175
71,5541.470328535665,-48.3389392326753
72,6055.996798189072,-43.414830290105286
73,6696.290668913741,-37.01604682111479
74,7925.266942153435,-39.923845020014035
75,6857.270827114057,-36.31035546481451
76,6356.690232349603,-30.078001876377563
77,5576.9614380960265,-43.27538653467439
78,7779.095615093648,-36.76278837757066
79,4258.823612909383,-39.66724222247242
80,9305.731982521707,-34.83001444610498
81,6649.249380623482,-41.60836653362048
82,5792.450919019308,-40.756066686014286
83,10056.127068167532,-41.308859507210535
84,8228.398297436459,-40.1334463259652
85,5321.3746107399475,-38.24741119995398
86,3883.878962588544,-37.35290743451171
87,8747.706299137282,-39.09444184837415
88,7434.149734603178,-41.43072500385989
89,4337.849001123159,-44.91565113345962
90,6868.298648522269,-36.4813072382793
91,10632.709124535952,-42.03250436762236
92,5164.980962785907,-40.88429942093059
93,6409.979063520345,-46.776930951948025
94,5808.356728903785,-40.284845762460996
95,7717.479514614419,-45.09509884429612
96,9293.471843390324,-40.07828914815171
97,4321.344012465853,-47.95578355028186
98,9733.777236824679,-44.767220547223054
99,8319.640990982693,-39.665777670429925
100,9394.412156350272,-36.93601073898042
101,6337.419418705522,-50.61008008842474
102,8347.986578800164,-40.74158987610713
103,10792.581339292716,-37.36987318823695
104,4414.1240716666725,-33.20460588859828
105,7834.776861167424,-40.70383029720536
106,6250.752491659807,-37.62822798037295
107,8353.924379150403,-45.01528014225564
108,6958.039574661601,-37.86418406560001
109,6044.279736529859,-38.18491850716036
110,5038.480956014742,-40.848952470234714
111,4373.310108602906,-39.78938773711934
112,5107.008228891205,-47.52983709484076
113,5807.798036738125,-39.21413353141974
114,8760.099731701945,-39.4614438395853
115,4971.1375630160555,-40.70732271071208
116,8012.547888607455,-39.19052568151895
117,9047.632301845928,-39.959390859356155
118,6361.4564637471,-43.610064722700606
119,6449.836768840968,-33.13700501160991
120,7649.2602974006,-39.27770939123894
121,6207.841180226383,-46.20065032038848
122,5980.341220979753,-42.561357128323564
123,8502.55116273747,-41.740958552701215
124,6389.248770909852,-37.71762949796907
125,8017.414243977716,-35.95808577212501
126,8067.440850265679,-43.797937927475964
127,6330.735530693003,-42.0954047508006
128,8200.83252754643,-51.52566129002345
129,4524.270829523857,-41.03081580131727
130,5690.627396672667,-47.4497818851282
131,10845.737713163353,-39.28204091123484
132,9849.797365370487,-42.286059528623746
133,10934.797496074036,-37.21347858843257
134,8711.423714930937,-34.753088188638095
135,8890.73247311822,-38.85885832855846
136,3924.692601233637,-39.230064988754116
137,8517.212988150535,-36.19726495499441
138,7345.691503480583,-44.68857174927907
139,18759.192051057697,-38.20815219021457
140,7387.73858382742,-47.824713302872645
141,3599.091667627386,-37.58686116123563
142,6340.559935009459,-43.312517525984184
143,10939.7866874704,-34.42151999167542
144,4997.982035773105,-39.402690810925115
145,4815.316849460115,-42.78658296471257
146,5086.153670858667,-48.82467068649573
147,7315.870011188642,-36.29263273007031
148,13163.45635861353,-40.06824284322581
149,7530.3197281850535,-38.75612859966968
150,6157.2838827000205,-36.04794386121715
151,6263.50224563809,-43.306807889152324
152,8282.646650715631,-41.45833093125334
153,4801.613980006257,-47.178506534722004
154,5439.814236335565,-38.908977344413294
155,7785.71191925925,-43.80824063595532
156,6471.491163960868,-37.79007521122358
157,7019.725421879206,-46.68410623258682
158,5290.666411602606,-41.697223830118126
159,6084.189811012347,-42.60268964936723
160,4897.018122948995,-42.03046501390504
161,4239.926750950028,-46.035753407872065
162,7185.184065004694,-39.74652339799037
163,6524.843155519287,-40.86520183929036
164,9614.905313396808,-40.997229131002314
165,7312.626682905538,-41.43196849108412
166,5254.048446090808,-46.51150047401455
167,4276.708550243775,-45.525882108365565
168,5378.137936320139,-48.97970820405039
169,7073.570572500308,-39.09531888257939
170,6473.701514531363,-42.111119898547436
171,6810.544845346878,-41.23257984888007
172,5371.7814783859,-43.28335531420665
173,7123.743087485892,-36.04154317842412
