date,close
2019-10-11,551.48
2019-10-14,552.32
2019-10-15,552.75
2019-10-16,552.79
2019-10-17,553.14
2019-10-18,555.54
2019-10-21,557.54
2019-10-22,558.45
2019-10-23,559.74
2019-10-24,558.74
2019-10-25,560.71
2019-10-28,562.39
2019-10-29,562.05
2019-10-30,562.23
2019-10-31,560.96
2019-11-01,561.88
2019-11-05,564.01
2019-11-06,563.83
2019-11-07,564.34
2019-11-08,563.91
2019-11-11,562.66
2019-11-12,561.85
2019-11-13,560.55
2019-11-14,561.61
2019-11-15,562.49
2019-11-18,563.16
2019-11-19,564.28
2019-11-20,564.78
2019-11-21,565.23
2019-11-22,565.52
2019-11-25,565.28
2019-11-26,565.12
2019-11-27,565.32
2019-11-28,564.92
2019-11-29,564.55
2019-12-02,564.08
2019-12-03,564.77
2019-12-04,565.38
2019-12-05,565.52
2019-12-06,565.77
2019-12-09,566.07
2019-12-10,566.27
2019-12-11,566.27
2019-12-12,567.26
2019-12-13,568.37
2019-12-16,568.5
2019-12-17,569.04
2019-12-18,569.0
2019-12-19,568.52
2019-12-20,568.4
2019-12-23,568.8
2019-12-24,569.55
2019-12-25,570.12
2019-12-26,570.61
2019-12-27,570.86
2019-12-30,571.63
2020-01-03,572.65
2020-01-06,572.6
2020-01-08,572.71
2020-01-09,573.13
2020-01-10,574.88
2020-01-13,577.95
2020-01-14,577.93
2020-01-15,577.04
2020-01-16,577.57
2020-01-17,578.04
2020-01-20,578.66
2020-01-21,578.23
2020-01-22,578.34
2020-01-23,578.98
2020-01-24,579.04
2020-01-27,577.71
2020-01-28,577.38
2020-01-29,578.18
2020-01-30,577.95
2020-01-31,578.19
2020-02-03,577.76
2020-02-04,578.6
2020-02-05,579.85
2020-02-06,579.85
2020-02-07,580.85
2020-02-10,581.41
2020-02-11,581.96
2020-02-12,582.93
2020-02-13,583.7
2020-02-14,584.69
2020-02-17,585.36
2020-02-18,585.28
2020-02-19,586.43
2020-02-20,587.68
2020-02-21,586.56
2020-02-25,585.76
2020-02-26,583.84
2020-02-27,582.24
2020-02-28,573.25
2020-03-02,576.7
2020-03-03,580.92
2020-03-04,586.18
2020-03-05,586.8
2020-03-06,576.13
2020-03-10,559.42
2020-03-11,557.78
2020-03-12,540.15
2020-03-13,540.6
2020-03-16,534.22
2020-03-17,534.65
2020-03-18,528.73
2020-03-19,531.09
2020-03-20,542.73
2020-03-23,543.47
2020-03-24,557.11
2020-03-25,557.21
2020-03-26,559.13
2020-03-27,562.65
2020-03-30,561.13
2020-03-31,567.5
2020-04-01,566.38
2020-04-02,565.9
2020-04-03,567.71
2020-04-06,569.88
2020-04-07,570.7
2020-04-08,570.03
2020-04-09,571.65
2020-04-10,572.2
2020-04-13,572.82
2020-04-14,572.89
2020-04-15,571.09
2020-04-16,573.32
2020-04-17,581.05
2020-04-20,587.23
2020-04-21,583.55
2020-04-22,586.17
2020-04-23,590.11
2020-04-24,592.33
2020-04-27,592.52
2020-04-28,592.76
2020-04-29,592.68
2020-04-30,592.76
2020-05-04,593.69
2020-05-05,594.52
2020-05-06,593.86
2020-05-07,594.06
2020-05-08,596.38
2020-05-12,600.63
2020-05-13,601.53
2020-05-14,602.38
2020-05-15,608.16
2020-05-18,612.79
2020-05-19,612.36
2020-05-20,613.13
2020-05-21,613.54
2020-05-22,612.68
2020-05-25,613.06
2020-05-26,613.17
2020-05-27,611.92
2020-05-28,611.49
2020-05-29,611.96
2020-06-01,613.06
2020-06-02,613.54
2020-06-03,612.91
